symbol,yahoo_symbol,asset_name,market,asset_type,country
011560,011560.KQ,세보엠이씨,KOSDAQ,STOCK,KR
0115H0,0115H0.KQ,삼성스팩13호,KOSDAQ,STOCK,KR
012210,012210.KQ,삼미금속,KOSDAQ,STOCK,KR
012340,012340.KQ,뉴인텍,KOSDAQ,STOCK,KR
012620,012620.KQ,원일특강,KOSDAQ,STOCK,KR
012700,012700.KQ,리드코프,KOSDAQ,STOCK,KR
012790,012790.KQ,신일제약,KOSDAQ,STOCK,KR
012860,012860.KQ,모베이스전자,KOSDAQ,STOCK,KR
0129K0,0129K0.KQ,신한제18호스팩,KOSDAQ,STOCK,KR
013030,013030.KQ,하이록코리아,KOSDAQ,STOCK,KR
0130D0,0130D0.KQ,신한제17호스팩,KOSDAQ,STOCK,KR
0130H0,0130H0.KQ,엔에이치스팩33호,KOSDAQ,STOCK,KR
013120,013120.KQ,동원개발,KOSDAQ,STOCK,KR
0131D0,0131D0.KQ,키움히어로제2호스팩,KOSDAQ,STOCK,KR
0132G0,0132G0.KQ,교보20호스팩,KOSDAQ,STOCK,KR
013310,013310.KQ,아진산업,KOSDAQ,STOCK,KR
013720,013720.KQ,THE CUBE&,KOSDAQ,STOCK,KR
013810,013810.KQ,스페코,KOSDAQ,STOCK,KR
013990,013990.KQ,아가방컴퍼니,KOSDAQ,STOCK,KR
014100,014100.KQ,메디앙스,KOSDAQ,STOCK,KR
014190,014190.KQ,원익큐브,KOSDAQ,STOCK,KR
014470,014470.KQ,부방,KOSDAQ,STOCK,KR
014570,014570.KQ,고려제약,KOSDAQ,STOCK,KR
014620,014620.KQ,성광벤드,KOSDAQ,STOCK,KR
014940,014940.KQ,오리엔탈정공,KOSDAQ,STOCK,KR
014950,014950.KQ,삼익제약,KOSDAQ,STOCK,KR
014970,014970.KQ,삼륭물산,KOSDAQ,STOCK,KR
015710,015710.KQ,코콤,KOSDAQ,STOCK,KR
015750,015750.KQ,성우하이텍,KOSDAQ,STOCK,KR
016100,016100.KQ,리더스코스메틱,KOSDAQ,STOCK,KR
016250,016250.KQ,SGC E&C,KOSDAQ,STOCK,KR
016600,016600.KQ,큐캐피탈,KOSDAQ,STOCK,KR
016670,016670.KQ,디모아,KOSDAQ,STOCK,KR
016790,016790.KQ,현대사료,KOSDAQ,STOCK,KR
016920,016920.KQ,카스,KOSDAQ,STOCK,KR
017000,017000.KQ,신원종합개발,KOSDAQ,STOCK,KR
017250,017250.KQ,인터엠,KOSDAQ,STOCK,KR
017480,017480.KQ,삼현철강,KOSDAQ,STOCK,KR
017510,017510.KQ,세명전기,KOSDAQ,STOCK,KR
017650,017650.KQ,대림제지,KOSDAQ,STOCK,KR
017890,017890.KQ,한국알콜,KOSDAQ,STOCK,KR
018000,018000.KQ,유니슨,KOSDAQ,STOCK,KR
018120,018120.KQ,진로발효,KOSDAQ,STOCK,KR
018290,018290.KQ,브이티,KOSDAQ,STOCK,KR
018310,018310.KQ,삼목에스폼,KOSDAQ,STOCK,KR
018620,018620.KQ,우진비앤지,KOSDAQ,STOCK,KR
018680,018680.KQ,서울제약,KOSDAQ,STOCK,KR
018700,018700.KQ,졸스,KOSDAQ,STOCK,KR
019010,019010.KQ,베뉴지,KOSDAQ,STOCK,KR
019210,019210.KQ,와이지-원,KOSDAQ,STOCK,KR
019540,019540.KQ,일지테크,KOSDAQ,STOCK,KR
019550,019550.KQ,SBI인베스트먼트,KOSDAQ,STOCK,KR
019570,019570.KQ,플루토스,KOSDAQ,STOCK,KR
019660,019660.KQ,글로본,KOSDAQ,STOCK,KR
019770,019770.KQ,서연탑메탈,KOSDAQ,STOCK,KR
019990,019990.KQ,에너토크,KOSDAQ,STOCK,KR
020180,020180.KQ,대신정보통신,KOSDAQ,STOCK,KR
020400,020400.KQ,대동금속,KOSDAQ,STOCK,KR
020710,020710.KQ,시공테크,KOSDAQ,STOCK,KR
021040,021040.KQ,대호특수강,KOSDAQ,STOCK,KR
021045,021045.KQ,대호특수강우,KOSDAQ,STOCK,KR
021080,021080.KQ,에이티넘인베스트,KOSDAQ,STOCK,KR
021320,021320.KQ,KCC건설,KOSDAQ,STOCK,KR
021650,021650.KQ,한국큐빅,KOSDAQ,STOCK,KR
021880,021880.KQ,메이슨캐피탈,KOSDAQ,STOCK,KR
022220,022220.KQ,티케이지애강,KOSDAQ,STOCK,KR
023160,023160.KQ,태광,KOSDAQ,STOCK,KR
023410,023410.KQ,유진기업,KOSDAQ,STOCK,KR
023440,023440.KQ,제이스코홀딩스,KOSDAQ,STOCK,KR
023600,023600.KQ,삼보판지,KOSDAQ,STOCK,KR
023760,023760.KQ,한국캐피탈,KOSDAQ,STOCK,KR
023770,023770.KQ,플레이위드,KOSDAQ,STOCK,KR
023790,023790.KQ,동일스틸럭스,KOSDAQ,STOCK,KR
023900,023900.KQ,풍국주정,KOSDAQ,STOCK,KR
023910,023910.KQ,대한약품,KOSDAQ,STOCK,KR
024060,024060.KQ,흥구석유,KOSDAQ,STOCK,KR
024120,024120.KQ,KB오토시스,KOSDAQ,STOCK,KR
024740,024740.KQ,한일단조,KOSDAQ,STOCK,KR
024800,024800.KQ,유성티엔에스,KOSDAQ,STOCK,KR
024830,024830.KQ,세원물산,KOSDAQ,STOCK,KR
024840,024840.KQ,KBI메탈,KOSDAQ,STOCK,KR
024850,024850.KQ,HLB이노베이션,KOSDAQ,STOCK,KR
024880,024880.KQ,케이피에프,KOSDAQ,STOCK,KR
024910,024910.KQ,경창산업,KOSDAQ,STOCK,KR
024940,024940.KQ,PN풍년,KOSDAQ,STOCK,KR
024950,024950.KQ,삼천리자전거,KOSDAQ,STOCK,KR
025320,025320.KQ,시노펙스,KOSDAQ,STOCK,KR
025440,025440.KQ,DH오토웨어,KOSDAQ,STOCK,KR
025550,025550.KQ,한국선재,KOSDAQ,STOCK,KR
025770,025770.KQ,한국정보통신,KOSDAQ,STOCK,KR
025870,025870.KQ,신라에스지,KOSDAQ,STOCK,KR
025880,025880.KQ,케이씨피드,KOSDAQ,STOCK,KR
025900,025900.KQ,동화기업,KOSDAQ,STOCK,KR
025950,025950.KQ,동신건설,KOSDAQ,STOCK,KR
025980,025980.KQ,아난티,KOSDAQ,STOCK,KR
026040,026040.KQ,제이에스티나,KOSDAQ,STOCK,KR
026150,026150.KQ,특수건설,KOSDAQ,STOCK,KR
026910,026910.KQ,광진실업,KOSDAQ,STOCK,KR
027040,027040.KQ,서울전자통신,KOSDAQ,STOCK,KR
027050,027050.KQ,코리아나,KOSDAQ,STOCK,KR
027360,027360.KQ,아주IB투자,KOSDAQ,STOCK,KR
027580,027580.KQ,상보,KOSDAQ,STOCK,KR
027710,027710.KQ,팜스토리,KOSDAQ,STOCK,KR
027830,027830.KQ,대성창투,KOSDAQ,STOCK,KR
028080,028080.KQ,휴맥스홀딩스,KOSDAQ,STOCK,KR
028300,028300.KQ,HLB,KOSDAQ,STOCK,KR
029480,029480.KQ,광무,KOSDAQ,STOCK,KR
